latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-30.88156,116.94253,325.52,1.21,1.09,2023-04-20,0147,T,81,6.1NRT,298.66,24.01,D
-30.88914,116.92792,323.03,1.21,1.1,2023-04-20,0147,T,79,6.1NRT,298.01,21.3,D
-30.89128,116.94038,386.54,1.21,1.09,2023-04-20,0147,T,100,6.1NRT,304.16,235.22,D
-30.95097,117.23261,316.44,1.17,1.08,2023-04-20,0147,T,72,6.1NRT,296.41,11.92,D
-30.953,117.24468,328.08,1.17,1.08,2023-04-20,0147,T,83,6.1NRT,296.82,27.31,D
-30.95503,117.25673,310.95,1.17,1.08,2023-04-20,0147,T,25,6.1NRT,295.65,6.06,D
-30.86583,116.32185,356.22,1.3,1.13,2023-04-20,0147,T,98,6.1NRT,299.95,106.32,D
-31.15908,115.58512,309.07,1.42,1.18,2023-04-20,0147,T,60,6.1NRT,297.36,8.91,D
-31.88683,119.0307,303.68,1.01,1.01,2023-04-20,0149,T,31,6.1NRT,293.07,3.8,D
-31.75384,116.50732,306.65,1.24,1.1,2023-04-20,0149,T,57,6.1NRT,292.86,7.67,D
-32.485,117.94693,310.17,1.06,1.03,2023-04-20,0149,T,68,6.1NRT,292.35,8.26,D
-33.80062,122.42841,324.14,1.18,1.08,2023-04-20,0149,T,82,6.1NRT,294.09,25.08,D
-33.80213,122.44109,330.88,1.18,1.08,2023-04-20,0149,T,86,6.1NRT,295.36,35.59,D
-33.70899,121.52805,308.64,1.09,1.04,2023-04-20,0149,T,63,6.1NRT,294.46,6.28,D
-33.63829,118.47039,310.98,1.02,1.01,2023-04-20,0149,T,68,6.1NRT,293.7,7.41,D
-33.63995,118.48119,307.21,1.02,1.01,2023-04-20,0149,T,61,6.1NRT,294.01,4.79,D
-33.46857,117.04386,310.74,1.11,1.05,2023-04-20,0149,T,68,6.1NRT,295.77,7.7,D
-33.69417,117.58955,315.94,1.06,1.03,2023-04-20,0149,T,74,6.1NRT,291.36,13.27,D
-33.69598,117.60085,319.85,1.06,1.03,2023-04-20,0149,T,78,6.1NRT,292.16,17.08,D
-34.21796,115.98336,348.12,1.2,1.09,2023-04-20,0149,T,95,6.1NRT,291.14,74.79,D
-34.21893,115.97693,312.38,1.2,1.09,2023-04-20,0149,T,72,6.1NRT,289.83,15.81,D
-34.22119,115.98985,314.28,1.2,1.09,2023-04-20,0149,T,75,6.1NRT,290.24,17.68,D
-34.67162,118.22113,323.24,1.02,1.01,2023-04-20,0149,T,82,6.1NRT,293.21,19.21,D
-34.67329,118.23206,313.09,1.02,1.01,2023-04-20,0149,T,73,6.1NRT,291.68,9.9,D
-34.67916,118.21286,303.33,1.02,1.01,2023-04-20,0149,T,50,6.1NRT,293.03,3.52,D
-34.68085,118.22379,327.25,1.02,1.01,2023-04-20,0149,T,85,6.1NRT,292.83,24.39,D
-34.32526,115.997,307.25,1.2,1.09,2023-04-20,0149,T,65,6.1NRT,289.18,10.77,D
-34.33416,116.0482,323.88,1.19,1.09,2023-04-20,0149,T,83,6.1NRT,291.57,29.39,D
-34.33635,116.06082,304.4,1.19,1.08,2023-04-20,0149,T,59,6.1NRT,288.93,8.52,D
-34.69529,117.7757,320.36,1.03,1.02,2023-04-20,0149,T,80,6.1NRT,292.85,18.34,D
-34.69703,117.78683,346.11,1.03,1.02,2023-04-20,0149,T,94,6.1NRT,292.91,56.64,D
-34.45232,116.07851,308.06,1.18,1.08,2023-04-20,0149,T,66,6.1NRT,289.24,11.82,D
-34.45407,115.97208,322.89,1.2,1.09,2023-04-20,0149,T,82,6.1NRT,291.43,26.27,D
-34.4637,115.96958,315.83,1.2,1.09,2023-04-20,0149,T,65,6.1NRT,291.12,17.02,D
30.40096,19.61192,320.68,1.01,1,2023-04-20,0045,A,100,6.1NRT,284.37,21.01,N
29.19346,21.5405,304.25,1.06,1.03,2023-04-20,0045,A,59,6.1NRT,284.69,9.81,N
29.23635,19.69687,304.19,1,1,2023-04-20,0045,A,59,6.1NRT,281.86,8.97,N
29.20596,19.83107,305.83,1,1,2023-04-20,0045,A,66,6.1NRT,281.76,10.21,N
28.84148,22.11305,303,1.11,1.05,2023-04-20,0045,A,53,6.1NRT,283.07,10.07,N
29.04247,20.79184,300.16,1.02,1.01,2023-04-20,0045,A,20,6.1NRT,285.17,6.68,N
28.90763,20.94932,324.44,1.03,1.01,2023-04-20,0048,A,100,6.1NRT,284.94,25.31,N
